,color,keyword,set,release_date,count
0,black,deathtouch,Aether Revolt,2017-01-20,2
1,black,deathtouch,Alara Reborn,2009-04-30,1
2,black,deathtouch,Amonkhet,2017-04-28,3
3,black,deathtouch,Avacyn Restored,2012-05-04,2
4,black,deathtouch,Battle for Zendikar,2015-10-02,2
5,black,deathtouch,Battlebond,2018-06-08,4
6,black,deathtouch,Born of the Gods,2014-02-07,1
7,black,deathtouch,Commander 2013 Edition,2013-11-01,2
8,black,deathtouch,Commander 2014,2014-11-07,1
9,black,deathtouch,Commander 2016,2016-11-11,2
10,black,deathtouch,Commander 2018,2018-08-10,1
11,black,deathtouch,Conflux,2009-02-06,1
12,black,deathtouch,Conspiracy: Take the Crown,2016-08-26,2
13,black,deathtouch,Core Set 2019,2018-07-13,3
14,black,deathtouch,Dark Ascension,2012-02-03,1
15,black,deathtouch,Dominaria,2018-04-27,2
16,black,deathtouch,Dragon's Maze,2013-05-03,3
17,black,deathtouch,Dragons of Tarkir,2015-03-27,5
18,black,deathtouch,Fate Reforged,2015-01-23,1
19,black,deathtouch,Gatecrash,2013-02-01,2
20,black,deathtouch,Guilds of Ravnica,2018-10-05,5
21,black,deathtouch,Hour of Devastation,2017-07-14,2
22,black,deathtouch,Innistrad,2011-09-30,2
23,black,deathtouch,Ixalan,2017-09-29,2
24,black,deathtouch,Journey into Nyx,2014-05-02,3
25,black,deathtouch,Kaladesh,2016-09-30,2
26,black,deathtouch,Khans of Tarkir,2014-09-26,4
27,black,deathtouch,Lorwyn,2007-10-12,2
28,black,deathtouch,Magic 2011,2010-07-16,1
29,black,deathtouch,Magic 2012,2011-07-15,2
30,black,deathtouch,Magic 2013,2012-07-13,1
31,black,deathtouch,Magic 2014 Core Set,2013-07-19,2
32,black,deathtouch,Magic 2015 Core Set,2014-07-18,3
33,black,deathtouch,Magic Origins,2015-07-17,3
34,black,deathtouch,Magic: The Gathering-Commander,2011-06-17,1
35,black,deathtouch,Mirrodin Besieged,2011-02-04,1
36,black,deathtouch,Morningtide,2008-02-01,1
37,black,deathtouch,Oath of the Gatewatch,2016-01-22,1
38,black,deathtouch,Planechase 2012 Edition,2012-06-01,1
39,black,deathtouch,Return to Ravnica,2012-10-05,2
40,black,deathtouch,Rise of the Eldrazi,2010-04-23,1
41,black,deathtouch,Rivals of Ixalan,2018-01-19,4
42,black,deathtouch,Scars of Mirrodin,2010-10-01,1
43,black,deathtouch,Shadows over Innistrad,2016-04-08,2
44,black,deathtouch,Shards of Alara,2008-10-03,3
45,black,deathtouch,Theros,2013-09-27,5
46,black,deathtouch,Zendikar,2009-10-02,2
47,black,defender,Born of the Gods,2014-02-07,1
48,black,defender,Dissension,2006-05-05,1
49,black,defender,Dragon's Maze,2013-05-03,1
50,black,defender,Eldritch Moon,2016-07-22,1
51,black,defender,Gatecrash,2013-02-01,1
52,black,defender,Guildpact,2006-02-03,1
53,black,defender,Guilds of Ravnica,2018-10-05,1
54,black,defender,Homelands,1995-10-14,2
55,black,defender,Hour of Devastation,2017-07-14,1
56,black,defender,Ice Age,1995-06-01,1
57,black,defender,Khans of Tarkir,2014-09-26,1
58,black,defender,Legends,1994-06-10,3
59,black,defender,Limited Edition Alpha,1993-08-05,1
60,black,defender,Magic 2013,2012-07-13,1
61,black,defender,Magic 2015 Core Set,2014-07-18,1
62,black,defender,Mercadian Masques,1999-10-04,1
63,black,defender,Mirage,1996-10-08,1
64,black,defender,Mirrodin,2003-10-02,1
65,black,defender,Nemesis,2000-02-14,1
66,black,defender,Prophecy,2000-06-05,1
67,black,defender,Return to Ravnica,2012-10-05,2
68,black,defender,Shadowmoor,2008-05-02,1
69,black,defender,Stronghold,1998-03-02,1
70,black,defender,Theros,2013-09-27,1
71,black,double strike,Dissension,2006-05-05,1
72,black,double strike,Fate Reforged,2015-01-23,1
73,black,double strike,Lorwyn,2007-10-12,1
74,black,first strike,Alara Reborn,2009-04-30,1
75,black,first strike,Alliances,1996-06-10,2
76,black,first strike,Amonkhet,2017-04-28,1
77,black,first strike,Antiquities,1994-03-04,1
78,black,first strike,Arabian Nights,1993-12-17,2
79,black,first strike,Battle for Zendikar,2015-10-02,1
80,black,first strike,Born of the Gods,2014-02-07,1
81,black,first strike,Coldsnap,2006-07-21,1
82,black,first strike,Commander 2017,2017-08-25,2
83,black,first strike,Conflux,2009-02-06,1
84,black,first strike,Dark Ascension,2012-02-03,1
85,black,first strike,Dissension,2006-05-05,1
86,black,first strike,Dominaria,2018-04-27,1
87,black,first strike,Dragon's Maze,2013-05-03,2
88,black,first strike,Eventide,2008-07-25,1
89,black,first strike,Exodus,1998-06-15,1
90,black,first strike,Fallen Empires,1994-11-15,4
91,black,first strike,Fate Reforged,2015-01-23,2
92,black,first strike,Homelands,1995-10-14,1
93,black,first strike,Ice Age,1995-06-01,1
94,black,first strike,Innistrad,2011-09-30,1
95,black,first strike,Invasion,2000-10-02,2
96,black,first strike,Khans of Tarkir,2014-09-26,3
97,black,first strike,Legends,1994-06-10,3
98,black,first strike,Limited Edition Alpha,1993-08-05,1
99,black,first strike,Lorwyn,2007-10-12,1
100,black,first strike,Magic 2015 Core Set,2014-07-18,1
101,black,first strike,Mirage,1996-10-08,2
102,black,first strike,Mirrodin Besieged,2011-02-04,2
103,black,first strike,Planar Chaos,2007-02-02,3
104,black,first strike,Planeshift,2001-02-05,1
105,black,first strike,Prophecy,2000-06-05,1
106,black,first strike,Return to Ravnica,2012-10-05,2
107,black,first strike,Rise of the Eldrazi,2010-04-23,1
108,black,first strike,Shadowmoor,2008-05-02,1
109,black,first strike,Shards of Alara,2008-10-03,1
110,black,first strike,Tempest,1997-10-14,1
111,black,first strike,Time Spiral,2006-10-06,1
112,black,first strike,Urza's Saga,1998-10-12,1
113,black,first strike,Visions,1997-02-03,1
114,black,first strike,Zendikar,2009-10-02,1
115,black,flash,Core Set 2019,2018-07-13,2
116,black,flash,Dominaria,2018-04-27,1
117,black,flash,Dragon's Maze,2013-05-03,1
118,black,flash,Guilds of Ravnica,2018-10-05,1
119,black,flash,Ixalan,2017-09-29,1
120,black,flash,Lorwyn,2007-10-12,1
121,black,flash,Morningtide,2008-02-01,1
122,black,flash,Planar Chaos,2007-02-02,1
123,black,flash,Rivals of Ixalan,2018-01-19,1
124,black,flash,Time Spiral,2006-10-06,2
125,black,flying,Aether Revolt,2017-01-20,3
126,black,flying,Alara Reborn,2009-04-30,9
127,black,flying,Alliances,1996-06-10,2
128,black,flying,Amonkhet,2017-04-28,4
129,black,flying,Antiquities,1994-03-04,1
130,black,flying,Apocalypse,2001-06-04,2
131,black,flying,Arabian Nights,1993-12-17,1
132,black,flying,Avacyn Restored,2012-05-04,5
133,black,flying,Battle for Zendikar,2015-10-02,6
134,black,flying,Battlebond,2018-06-08,2
135,black,flying,Born of the Gods,2014-02-07,5
136,black,flying,Champions of Kamigawa,2004-10-01,6
137,black,flying,Coldsnap,2006-07-21,8
138,black,flying,Commander 2013 Edition,2013-11-01,2
139,black,flying,Commander 2014,2014-11-07,2
140,black,flying,Commander 2015,2015-11-13,3
141,black,flying,Commander 2016,2016-11-11,3
142,black,flying,Commander 2017,2017-08-25,6
143,black,flying,Commander 2018,2018-08-10,3
144,black,flying,Conflux,2009-02-06,8
145,black,flying,Conspiracy: Take the Crown,2016-08-26,1
146,black,flying,Core Set 2019,2018-07-13,12
147,black,flying,Dark Ascension,2012-02-03,6
148,black,flying,Darksteel,2004-02-06,2
149,black,flying,Dissension,2006-05-05,3
150,black,flying,Dominaria,2018-04-27,5
151,black,flying,Dragon's Maze,2013-05-03,4
152,black,flying,Dragons of Tarkir,2015-03-27,10
153,black,flying,Duel Decks: Blessed vs. Cursed,2016-02-26,1
154,black,flying,Eldritch Moon,2016-07-22,4
155,black,flying,Eventide,2008-07-25,7
156,black,flying,Exodus,1998-06-15,1
157,black,flying,Fate Reforged,2015-01-23,5
158,black,flying,Fifth Dawn,2004-06-04,3
159,black,flying,From the Vault: Dragons,2008-08-29,1
160,black,flying,Future Sight,2007-05-04,3
161,black,flying,Gatecrash,2013-02-01,8
162,black,flying,Guildpact,2006-02-03,6
163,black,flying,Guilds of Ravnica,2018-10-05,7
164,black,flying,Homelands,1995-10-14,3
165,black,flying,Hour of Devastation,2017-07-14,4
166,black,flying,Ice Age,1995-06-01,3
167,black,flying,Innistrad,2011-09-30,9
168,black,flying,Invasion,2000-10-02,9
169,black,flying,Ixalan,2017-09-29,4
170,black,flying,Journey into Nyx,2014-05-02,1
171,black,flying,Judgment,2002-05-27,1
172,black,flying,Kaladesh,2016-09-30,3
173,black,flying,Khans of Tarkir,2014-09-26,7
174,black,flying,Legends,1994-06-10,6
175,black,flying,Legions,2003-02-03,3
176,black,flying,Limited Edition Alpha,1993-08-05,5
177,black,flying,Lorwyn,2007-10-12,8
178,black,flying,Magic 2010,2009-07-17,4
179,black,flying,Magic 2011,2010-07-16,3
180,black,flying,Magic 2012,2011-07-15,5
181,black,flying,Magic 2013,2012-07-13,2
182,black,flying,Magic 2014 Core Set,2013-07-19,2
183,black,flying,Magic 2015 Core Set,2014-07-18,4
184,black,flying,Magic Origins,2015-07-17,4
185,black,flying,Magic: The Gathering-Commander,2011-06-17,4
186,black,flying,Magic: The Gathering—Conspiracy,2014-06-06,1
187,black,flying,Mercadian Masques,1999-10-04,2
188,black,flying,Mirage,1996-10-08,8
189,black,flying,Mirrodin,2003-10-02,3
190,black,flying,Mirrodin Besieged,2011-02-04,2
191,black,flying,Morningtide,2008-02-01,4
192,black,flying,Nemesis,2000-02-14,3
193,black,flying,New Phyrexia,2011-05-13,4
194,black,flying,Oath of the Gatewatch,2016-01-22,2
195,black,flying,Odyssey,2001-10-01,8
